EVENT_ID,TIMESTAMP,LOCATION_LONG,LOCATION_LAT,CANONICAL_TAXONOMY,TAG_LOCAL_IDENTIFIER,ID_INDIVIDUAL_IDENTIFIER,STUDY_NAME,COUNTRY,POLYGON_8,POLYGON_6,T2M,RH2M,WS10M,PS,PRECTOTCORR,HIGH
1,6/15/2010 22:43,-58.030128,-23.326947,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c5fffff,86a86414fffffff,-0.35,94.99,7.85,99.78,8.87,88
2,6/16/2010 2:52,-58.030643,-23.328427,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641413fffff,86a86414fffffff,-2.99,83.41,6.17,100.51,0.38,84
3,6/16/2010 22:36,-58.030472,-23.327311,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c5fffff,86a86414fffffff,-2.99,83.41,6.17,100.51,0.38,88
4,6/17/2010 16:42,-58.027983,-23.309952,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414e3fffff,86a86414fffffff,0.11,89.72,12.72,99.81,6.94,86
5,6/17/2010 20:37,-58.027747,-23.310006,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414e3fffff,86a86414fffffff,0.11,89.72,12.72,99.81,6.94,84
6,6/18/2010 0:44,-58.02206,-23.297174,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,-0.04,89.47,13.16,98.36,10.06,87
7,6/19/2010 1:37,-58.012147,-23.274697,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640645fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,84
8,6/19/2010 5:37,-58.004401,-23.273292,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640669fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,85
9,6/19/2010 18:37,-57.997148,-23.276092,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640669fffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,87
10,6/19/2010 22:58,-57.993844,-23.273517,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864066dfffff,86a864067ffffff,-1.27,88.63,10.54,97.84,2.74,87
11,6/20/2010 2:47,-57.990496,-23.269268,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640665fffff,86a864067ffffff,-3.98,88.15,12.78,98.23,1.2,83
12,6/20/2010 7:47,-57.991054,-23.282669,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415bbfffff,86a86415fffffff,-3.98,88.15,12.78,98.23,1.2,85
13,6/20/2010 22:43,-57.981784,-23.274719,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86415b3fffff,86a86415fffffff,-3.98,88.15,12.78,98.23,1.2,88
14,6/21/2010 8:47,-58.014636,-23.264548,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a864060dfffff,86a864067ffffff,-4.78,88.88,9.78,98.8,0.76,92
17,6/23/2010 11:55,-58.03751,-23.290286,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-4.22,89.34,8.02,100.05,0.87,89
18,6/23/2010 15:48,-58.037639,-23.290694,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-4.22,89.34,8.02,100.05,0.87,89
19,6/24/2010 1:00,-58.037531,-23.290651,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-1.84,87.41,7.01,100.56,1.21,89
20,6/24/2010 22:39,-58.036158,-23.294009,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8641487fffff,86a86414fffffff,-1.84,87.41,7.01,100.56,1.21,82
21,6/25/2010 11:41,-58.025687,-23.29079,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a3fffff,86a86414fffffff,0.17,96.8,8.64,98.1,15.3,82
22,6/25/2010 20:49,-58.020644,-23.295693,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414a1fffff,86a86414fffffff,0.17,96.8,8.64,98.1,15.3,84
23,6/26/2010 0:41,-58.037725,-23.290501,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414bdfffff,86a86414fffffff,-0.55,92.89,8.25,96.97,1.76,89
25,6/26/2010 20:50,-58.046157,-23.254806,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a8640653fffff,86a864067ffffff,-0.55,92.89,8.25,96.97,1.76,93
26,6/27/2010 5:52,-58.034463,-23.317119,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c7fffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,87
27,6/27/2010 9:42,-58.032103,-23.317312,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ebfffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,86
28,6/27/2010 13:49,-58.031802,-23.317022,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414ebfffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,86
29,6/27/2010 23:50,-58.042059,-23.320359,Panthera onca,0-333005,1,Humid Chaco,Paraguay,88a86414c3fffff,86a86414fffffff,-4.81,83.29,6.5,99.9,0.38,82
